country,year,yield_curve_slope,credit_gdp_2y_diff,cpi_2y_growth,debt_service_ratio,consumption_growth,investment_2y_diff,debt_gdp_2y_diff,money_gdp_2y_diff,stocks_2y_growth,ca_gdp_2y_diff,household_loans_2y_diff,business_loans_2y_diff,house_price_2y_growth
Switzerland,1884,0.8899999999999997,-5.2166204528748095,-14.07658663570065,-129.4112635207161,11.161731207289293,-1.1686500000000002,-0.28781559999999995,4.232926644960077,,,-1.4673850413370215,-3.749292579188385,
Switzerland,1885,0.69,0.6009130334392543,-19.445027933799775,7.050723478854648,22.444317532838376,-1.3956552999999996,0.09406710000000006,1.8664391535204494,,,1.035450804607746,-0.43476670771778747,
Switzerland,1886,0.6299999999999999,2.9684071202613627,-14.070890677022952,16.244135491069045,-5.63524590163933,1.3460366000000001,0.24498750000000008,0.8196635564565402,,,3.101305745968169,-0.1329542096532632,
Switzerland,1887,0.5099999999999998,5.105554991735084,-2.074781527000602,7.420673943987355,0.8861940298507287,1.0029718000000007,-0.15585730000000006,4.155822330491232,,,3.6917900081044452,1.4134886386352352,
Switzerland,1888,0.33999999999999986,1.7675283154015675,0.4776526524688407,15.265843185352512,-1.0314875135722157,1.3749353000000006,-0.45116260000000014,1.1463979566169624,,,0.7776038169665711,0.989708034374448,
Switzerland,1889,-0.20000000000000018,1.2632836663741265,6.005989428504299,58.30212692419199,-14.331946370781312,2.3100609999999993,1.1314961,-3.407145406522738,,,-0.6593819815025881,1.9227312348088776,
Switzerland,1890,-0.3700000000000001,-2.6623303986071045,12.488863694197105,43.45802077573309,2.3587493143170546,2.1302833000000008,1.9084083999999997,-4.9777209702999485,,,-3.181091663619373,0.5189311859533474,
Switzerland,1891,-0.3500000000000001,1.2131121052272098,7.196386244104103,19.14045301610363,6.799784133837017,3.1316664999999992,0.08487190000000047,-5.205565152305414,,,0.5529934394156888,0.6603673294723944,
Switzerland,1892,0.33000000000000007,3.7070774199015055,1.288100410284554,-43.03495511867737,32.95819935691318,0.02316109999999927,-0.5297098,-3.378613442073636,,,3.089303894736939,0.6177756862461858,
Switzerland,1893,-0.28000000000000025,7.2861575760360004,-3.4399289734655447,-16.15551715744239,19.20161697827185,-0.5849455000000003,-0.09978600000000032,-0.43243025891271936,,,4.175351742278421,3.110450142271209,
