country,year,yield_curve_slope,credit_gdp_2y_diff,cpi_2y_growth,debt_service_ratio,consumption_growth,investment_2y_diff,debt_gdp_2y_diff,money_gdp_2y_diff,stocks_2y_growth,ca_gdp_2y_diff,household_loans_2y_diff,business_loans_2y_diff,house_price_2y_growth
Germany,1870,-2.123067,,,,,,,,,,,,
Germany,1871,0.3305749999999996,,,,,,,,,,,,
Germany,1872,0.16019200000000033,8.81867920645405,10.811398171007337,-27.680201463437506,11.075949367088601,3.288661100000001,,8.112976943575836,72.8156481748305,,,,63.58463585299419
Germany,1873,-0.30089200000000016,8.868829504548408,12.068908150193813,54.282818656122345,10.907237512742096,2.641721200000001,-11.000000000000002,7.0352962340003655,-4.9999783663102875,,,,45.62625670470795
Germany,1874,0.7671833000000001,3.1590441339377273,6.503337961764455,-9.706746985266124,6.647673314339997,1.6059270999999986,-3.0,1.9257684168924982,-34.26973939439314,-0.41937577014309163,,,-0.7348154037428389
Germany,1875,-0.5019749999999998,3.663540960621936,-4.6152590052476405,21.82654380041924,4.411764705882337,0.39165790000000034,1.0000000000000009,-0.7593424409813698,-34.586568897592976,-1.7021687569905422,,,-7.2174974651850965
Germany,1876,0.5032420000000002,-3.6072266310252568,-4.580040217143111,-4.4319782512409756,-1.8699910952805099,-3.9402381999999987,5.000000000000002,-1.2808910825022446,-36.7520748015801,0.6911005277310028,,,2.9369097677687916
Germany,1877,0.23471699999999984,-4.526003035068326,-0.8061692177201651,-47.40001328553003,-2.8169014084507116,-3.0862145000000005,6.0,-0.8765100204398135,-17.241427328111392,0.5094951703568196,,,-3.512972675978099
Germany,1878,-0.22513299999999958,3.4855445717250024,-4.799876490794697,40.26489544480465,4.083484573502738,-3.1205177,3.0,-0.23340030520234145,1.351461969156209,0.8895343555235277,,,-13.552798729654626
Germany,1879,0.6800829999999998,3.124168501411556,-5.691401316357192,-6.33307615769656,1.9927536231884035,-3.2537194000000005,5.000000000000002,1.784399469198067,61.11120459019703,0.3807321113914453,,,-8.593996242923952
Germany,1880,0.6749999999999998,3.095519470373953,1.6808971271497608,-30.34377673874178,-6.364428945074108,-2.3134965000000007,7.999999999999999,1.9001764813183386,53.33279489561038,-0.6656171639556501,,,-7.187713106830662
Germany,1881,-0.16500000000000004,3.5385883908727154,2.5861351877422667,38.13386481652843,-2.7531083481349916,1.9197747,3.9999999999999982,2.6621859163646064,10.345169712793734,0.17260071676823108,,,6.115360123953173
Germany,1882,0.06499999999999995,2.6195606583159226,-0.826953748006376,29.82795948671848,1.1173184357541777,0.8794648000000003,3.0000000000000027,2.5607603212881913,5.217831013068275,0.9433547888229186,,,10.229901265904196
Germany,1883,0.41999999999999993,2.8006208698584834,-2.5209402645000822,-15.946632403969229,4.93150684931507,0.8728993000000005,4.999999999999999,5.2405691872074165,-8.593968132278974,-0.5080359526241949,,,-2.587926907204219
Germany,1884,0.9899999999999998,3.287021557444275,-4.166030089335237,-31.844783960843426,7.458563535911611,1.8233807000000004,4.999999999999999,5.717697550925766,-0.8265124777852906,0.17242189700019048,,,17.992315426601557
Germany,1885,0.96,3.5705138061043917,-3.447902976259798,-18.423196884423355,3.916449086161866,0.41619619999999913,3.0000000000000027,1.6966035648222522,-0.8547716553370166,1.2751866449898983,,,13.145961717657162
Germany,1886,1.58,4.414912182319575,-3.4787132285076683,-23.50425112988126,3.2562125107112427,-0.11491080000000098,1.0000000000000009,2.608689542735015,0.8334006380487091,-0.09270473426686646,,,-8.328514691784472
Germany,1887,1.4000000000000004,3.8381531343479547,-0.8934032893093136,-17.33532065743635,1.005025125628145,1.1024532000000002,1.9999999999999962,2.023549052407997,6.034464751958213,-0.5383817665014914,,,22.314361471074417
Germany,1888,1.5300000000000002,2.7117900559291974,0.9014569352202795,3.2380861045321563,2.7385892116182475,1.1284220999999997,0.0,0.06903871789256111,20.66080949162725,0.7808000812111457,,,19.896047307812026
Germany,1889,0.9700000000000002,5.366144854328658,4.5046767968288215,31.077395221081172,4.228855721393043,1.3572550000000003,-1.0000000000000009,2.2034206192586225,51.219860531085025,0.479361075404685,,,-1.1966896995018406
Germany,1890,-0.09999999999999964,4.358851443872524,6.249515391176241,103.96376436141892,2.5848142164781818,2.606338300000001,1.9999999999999962,1.0698276200958368,4.794503497547975,-1.518666189699127,,,15.885393682323269
Germany,1891,0.69,0.6856924081584115,4.310502586967013,24.212464411695578,1.9093078758949833,-3.7298685,5.000000000000004,-1.2779191044044957,-31.182729164563394,-1.327192705255955,,,18.99104338760649
Germany,1892,1.8800000000000001,3.5256264197582543,0.8400431373502881,-106.01186278778772,2.5196850393700787,-1.1414222,6.0,1.4331176938768675,-15.68639095422476,-1.1645987658440322,,,5.390730118527953
Germany,1893,0.48,5.152505290482767,-6.61164274322169,24.95232383938375,8.040593286494913,2.8356196000000002,2.9999999999999973,2.682890935534221,3.124778170563758,0.13668595451214843,,,-0.8738142751701816
Germany,1894,1.82,7.465539183363202,-7.499819078021597,9.373713007704287,6.451612903225801,-2.6647119999999997,2.0000000000000018,4.76037162037814,17.82955564633899,1.8908853450300218,,,-4.92540337721703
Germany,1895,1.35,7.925037045182082,0.0,-56.700269672957184,4.190751445086716,-0.8232505000000001,1.0000000000000009,5.090686802449334,21.969676110759284,-0.30037766588525244,,,-3.7013238613565203
Germany,1896,0.31000000000000005,4.611400783997899,2.7026322194791286,102.07757136759253,3.6796536796536827,2.9211936999999994,-1.0000000000000009,1.5912683066452438,12.500249072454173,-0.41855013153745957,,,5.689234524992948
