country,year,yield_curve_slope,credit_gdp_2y_diff,cpi_2y_growth,debt_service_ratio,consumption_growth,investment_2y_diff,debt_gdp_2y_diff,money_gdp_2y_diff,stocks_2y_growth,ca_gdp_2y_diff,household_loans_2y_diff,business_loans_2y_diff,house_price_2y_growth
Netherlands,1870,1.0,,,,,,,,,,,,
Netherlands,1871,1.83,,,,,,,,,,,,
Netherlands,1872,-0.33999999999999986,,22.45497611268876,,8.92519292516154,0.2605843999999996,-13.483599999999985,1.3485124353080524,,-10.033952730586185,,,13.5132402401124
Netherlands,1873,-0.3600000000000003,,13.886074917463965,,10.219687435280612,0.05098179999999952,-17.226300000000005,-0.6916507913466818,,-12.142305355233383,,,16.871917191943496
Netherlands,1874,0.5099999999999998,,1.8555050342643264,,-0.03171171171171272,-1.0013807,-4.916600000000004,-0.6159553712356158,,2.2847586214029136,,,19.830524366517444
Netherlands,1875,0.77,,-11.141824969788095,,4.796490619489502,0.3743242000000008,3.936800000000007,2.36702407612521,,8.048052080401176,,,11.943656565225735
Netherlands,1876,1.21,,-12.882178701503499,,5.107205167764928,1.6577954000000006,3.266800000000003,2.762137860306557,,-3.4078639005367757,,,5.36199480056101
Netherlands,1877,1.1600000000000001,,1.7713665331719586,,3.720458730147791,2.3789422000000005,-0.7174000000000014,1.0907079269973974,,-6.624257021137299,,,6.573826238533864
Netherlands,1878,0.6699999999999999,,-0.9111851334843712,,0.7545099115165543,-0.08909930000000066,2.3706000000000005,2.4205769841094655,,-4.7085040190046845,,,7.724184025843828
Netherlands,1879,0.8599999999999999,,-9.719481879619273,,-7.88010957155395,0.5158936999999988,9.634699999999995,2.4665072689528085,,2.2611569163532232,,,3.8925891366446086
Netherlands,1880,1.3399999999999999,,-3.4583069506958886,,1.4561917080808895,0.8736720000000003,-0.3562999999999983,-0.9304197701409084,,3.204058818286673,,,0.3357324067946088
Netherlands,1881,0.6500000000000004,,3.79495066110056,,9.859836018245849,-0.10671709999999918,-5.875600000000003,-0.5809640780629816,,3.6999934614259375,,,3.0643601664148923
Netherlands,1882,-0.5099999999999998,,1.7098058986922515,,4.050218413865769,0.20777319999999988,-3.614000000000006,-0.2801756540356082,,7.000690874191122,,,5.783857691541328
Netherlands,1883,0.029999999999999805,,-7.509046467953229,,7.852154546589318,0.7160436999999992,-1.484199999999991,-0.8106363495081065,,-5.013483550845564,,,-4.680571878839679
Netherlands,1884,0.9500000000000002,,-11.9135705381902,,4.520039983232826,0.7284020000000002,3.5958000000000045,0.48013316079861257,,-3.4923134362889545,,,-14.573008748968885
Netherlands,1885,1.23,,-10.420275836649406,,-2.32509974720555,-1.2228029,6.3927999999999985,1.805695017039219,,10.452506062457754,,,-5.946186408766829
Netherlands,1886,1.44,,-9.725401764721076,,-1.9040685119143141,0.6434210999999995,7.662799999999992,3.2097108392560885,,13.435817750437895,,,4.1524661801910945
Netherlands,1887,1.25,,-1.5366432222749582,,1.6183550777059796,-0.7584369999999994,9.679499999999997,1.2466393354835263,,5.795364496721532,,,-4.339875609846933
Netherlands,1888,1.12,,2.848528489965285,,-0.1044103957531406,-0.2902119999999994,3.596900000000003,-1.2694459767956605,,-3.3212474826986664,,,-12.493635286882022
Netherlands,1889,0.81,,2.6758645205831932,,1.0077143540992983,-0.15817219999999937,-7.797299999999996,-0.16855103048875053,,-3.264544601710437,,,-12.703177254269882
Netherlands,1890,0.6000000000000001,,4.466692162081398,,-4.381634786112754,-0.12618489999999954,-5.072599999999994,0.9609833172463417,,0.2583602709744254,,,-12.942636370272275
Netherlands,1891,0.3999999999999999,,3.748588963886834,,-6.453200473919251,1.8012454999999996,-1.3861000000000012,-0.48357093209916435,,-1.8040699905750608,,,-1.9857020532672132
Netherlands,1892,1.0099999999999998,,-6.272593595527409,,2.9329066329520703,-0.04926840000000071,3.2943999999999973,-0.2928511717363469,-4.545454584476882,-0.4995439249233402,,,10.59993723453443
Netherlands,1893,0.08000000000000007,,-9.532728981289395,,-3.5774596658959323,-1.1420074000000002,9.27039999999999,2.22517329984242,4.761904804731998,4.472635401613171,,,1.3295385518403924
Netherlands,1894,0.9100000000000001,,-2.3425445025961777,,2.6542218696622877,-0.9597380000000002,1.1656,1.8943806799990277,4.761904804731998,-8.128153353351692,,,-7.052378951381277
Netherlands,1895,1.15,,-5.84102696913914,,9.994880638034175,0.4159830000000003,-2.871699999999988,2.006778781121435,0.0,-9.838466119313214,,,-3.6551824784741616
Netherlands,1896,0.3599999999999999,,-4.1473846152761285,,6.138995176548301,0.8801394000000005,-3.5977000000000037,0.6602398836134504,0.0,-6.302668212794763,,,0.0
Netherlands,1897,0.52,,0.1971980812074836,,1.613041507954982,1.0019921,-4.577799999999998,0.007655858878391486,0.0,-2.512501265419974,,,2.9507241648509153
Netherlands,1898,0.3899999999999997,,0.2521907624329467,,2.814751316662445,-0.06846549999999924,-3.928900000000002,0.13928659677133748,4.545454512935931,0.697549823568353,,,5.9014483297018305
Netherlands,1899,-0.10000000000000009,,1.2753049015161722,,2.1653970396798616,1.9171680999999996,-1.9093000000000027,0.2834071951015704,0.0,-0.5197026305474118,,,6.8032061424655454
Netherlands,1900,-0.1499999999999999,,6.716173291039196,,-5.767199090862363,2.7312644999999995,-1.4608999999999983,-0.00915080515608846,-4.3478260572041405,3.3098269965744205,,,7.654712733722224
Netherlands,1901,0.2400000000000002,,4.6920536465984375,,3.916918847812356,0.11177729999999886,-3.8640000000000008,-0.5132176350048312,-4.545454584476882,-1.8353256862188,,,7.048059478797519
