country,iso,year,remove,target,yield_curve_slope,credit_gdp_2y_diff,cpi_2y_growth,debt_service_ratio,consumption_growth,investment_2y_diff,public_debt_2y_diff,broad_money_2y_diff,stock_price_2y_growth,current_account_2y_diff,global_yield_curve_slope,global_credit_gdp_2y_diff
Sweden,SWE,1899,0,0,-2.2109166670000002,1.7680033240335291,9.39510936066248,85.85375113081474,11.603053435114496,1.4565099999999997,-1.1665350000000019,1.3713788479567834,4.156994260948177,-4.5328720409097825,-0.5465559148666667,2.109544630199561
Sweden,SWE,1900,0,0,-2.07775,1.8614754235329434,5.651105669800116,66.02445300819451,4.382183908045967,-0.3616199999999986,1.0265832999999973,3.9496381422718496,1.8037466438736605,-0.5331269643263935,-0.5489688935333333,1.9544463918027404
Sweden,SWE,1901,0,0,-1.6490833340000002,6.284702206592884,-1.2941176451678804,3.9737231207515045,1.3679890560875485,-2.92211,1.4857546999999998,8.699730101074476,0.7560912786641838,1.2567830796617965,-0.2351445614666667,1.4965030841940001
Sweden,SWE,1902,0,0,-1.2061666670000002,6.35329970758246,-1.6279069772367816,-30.985450121693468,2.4776324845148023,-3.1506600000000025,0.6679705000000008,7.785659793638122,-3.990610986430554,-0.38917106420134906,-0.07737726666666675,2.208091028455711
Sweden,SWE,1903,0,0,-0.8304999999999998,-1.038739705464875,2.5029797571052503,-65.56073108126554,2.8340080971659853,-0.052079999999998794,-1.6182163999999999,-0.23078790573577423,6.945225252452514,0.7314082417878651,-0.14544946239999998,1.8563695578854775
Sweden,SWE,1904,0,0,-0.9129166670000002,5.674730837236941,0.47281321840952906,9.167858646285687,7.320349227669576,2.162550000000002,0.10718759999999994,0.45767532468596883,16.601684002693794,-1.020481050778603,0.04695337773333326,3.747295216856741
Sweden,SWE,1905,0,1,-1.0256666669999999,12.198193034296557,0.93023255337783,74.28711445505142,1.049868766404205,1.198859999999999,1.9883415000000015,6.077208885537111,18.93655048911127,-0.8601614472826945,-0.4213594293333334,3.415145879210438
Sweden,SWE,1906,0,1,-1.3612500000000005,3.4100786462923693,4.235294114705601,57.69439043300535,4.443053817271592,1.1794499999999986,-0.9177142999999999,1.5895680931409362,21.497717046855346,1.8402557541142621,-0.9374457281999999,1.6123530848412686
Sweden,SWE,1919,0,0,-0.9516666669999996,-5.468755797485914,62.195121964313515,6.125926439175133,25.393127548048923,-0.82459,-2.5311795000000026,-6.310644337310656,-39.59657585720821,-14.70168067964624,0.2225011401666667,2.4433134349518513
Sweden,SWE,1920,0,1,-0.909166667,-9.480401997455946,12.448132787035139,-63.60110705839119,22.78551532033426,3.0984499999999997,-6.136452199999999,-12.802444683145497,-39.30568235136963,-9.204670443456871,0.7189128446153846,-4.356076622204194
